Product ID,Product_Name,Category,Sub_Category,Avg_Unit_Price,Total_Sales,Total_Profit,Profitability_Status
FUR-ADV-10000002,"Advantus Photo Frame, Duo Pack",Furniture,Furnishings,53.04,159.12,60.39,Profitable
FUR-ADV-10000108,"Advantus Clock, Erganomic",Furniture,Furnishings,50.01,350.07,3.36,Profitable
FUR-ADV-10000183,"Advantus Photo Frame, Black",Furniture,Furnishings,40.39725,974.832,-651.7379999999999,Loss-Making
FUR-ADV-10000188,"Advantus Stacking Tray, Erganomic",Furniture,Furnishings,18.4926,124.94999999999999,4.200000000000001,Profitable
FUR-ADV-10000190,"Advantus Frame, Duo Pack",Furniture,Furnishings,111.18,222.36,104.46,Profitable
FUR-ADV-10000571,"Advantus Frame, Erganomic",Furniture,Furnishings,109.74,2194.7999999999997,702.0,Profitable
FUR-ADV-10000600,"Advantus Clock, Duo Pack",Furniture,Furnishings,51.45,205.8,24.6,Profitable
FUR-ADV-10000847,"Advantus Stacking Tray, Black",Furniture,Furnishings,26.43,290.73,81.18,Profitable
FUR-ADV-10001283,"Advantus Frame, Black",Furniture,Furnishings,72.22800000000001,177.792,-88.968,Loss-Making
FUR-ADV-10001440,"Advantus Door Stop, Black",Furniture,Furnishings,40.527,959.139,176.379,Profitable
FUR-ADV-10001659,"Advantus Light Bulb, Durable",Furniture,Furnishings,15.105000000000002,147.06,16.86,Profitable
FUR-ADV-10001855,"Advantus Stacking Tray, Durable",Furniture,Furnishings,22.4145,89.658,12.618000000000002,Profitable
FUR-ADV-10002329,"Advantus Light Bulb, Erganomic",Furniture,Furnishings,7.476,7.476,-9.534,Loss-Making
FUR-ADV-10002601,"Advantus Photo Frame, Erganomic",Furniture,Furnishings,44.376,495.36,200.01,Profitable
FUR-ADV-10002632,"Advantus Door Stop, Duo Pack",Furniture,Furnishings,18.036,36.072,-48.708,Loss-Making
FUR-ADV-10002889,"Advantus Clock, Durable",Furniture,Furnishings,44.269714285714294,803.772,-61.48800000000001,Loss-Making
FUR-ADV-10003147,"Advantus Stacking Tray, Erganomic",Furniture,Furnishings,23.4,187.2,57.84,Profitable
FUR-ADV-10003326,"Advantus Light Bulb, Black",Furniture,Furnishings,13.54725,54.189,11.589,Profitable
FUR-ADV-10004159,"Advantus Frame, Durable",Furniture,Furnishings,39.655,194.67,-286.68,Loss-Making
FUR-ADV-10004223,"Advantus Clock, Black",Furniture,Furnishings,33.4035,66.807,-6.212999999999999,Loss-Making
FUR-ADV-10004395,"Advantus Door Stop, Durable",Furniture,Furnishings,28.600800000000003,614.076,4.206,Profitable
FUR-ADV-10004499,"Advantus Photo Frame, Durable",Furniture,Furnishings,50.01,250.04999999999998,39.900000000000006,Profitable
FUR-ADV-10004718,"Advantus Light Bulb, Duo Pack",Furniture,Furnishings,14.493599999999997,124.80599999999998,-20.184,Loss-Making
FUR-ADV-10004971,"Advantus Door Stop, Erganomic",Furniture,Furnishings,43.65,392.84999999999997,121.77,Profitable
FUR-BAR-10000560,"Barricks Round Table, with Bottom Storage",Furniture,Tables,501.51,1003.02,30.06,Profitable
FUR-BAR-10000831,"Barricks Training Table, Fully Assembled",Furniture,Tables,319.77,319.77,121.5,Profitable
FUR-BAR-10000946,"Barricks Computer Table, with Bottom Storage",Furniture,Tables,480.03,3360.21,134.4,Profitable
FUR-BAR-10001039,"Barricks Coffee Table, Fully Assembled",Furniture,Tables,106.0395,212.079,-303.02099999999996,Loss-Making
FUR-BAR-10002449,"Barricks Training Table, Adjustable Height",Furniture,Tables,320.49,7371.2699999999995,2358.42,Profitable
FUR-BAR-10002710,"Barricks Coffee Table, Adjustable Height",Furniture,Tables,91.107,364.428,-546.732,Loss-Making
FUR-BAR-10003465,"Barricks Computer Table, Adjustable Height",Furniture,Tables,142.623,285.246,-551.514,Loss-Making
FUR-BAR-10003532,"Barricks Conference Table, Rectangular",Furniture,Tables,588.0225,3075.81,-2460.8100000000004,Loss-Making
FUR-BAR-10003576,"Barricks Training Table, with Bottom Storage",Furniture,Tables,318.3,636.6,261.0,Profitable
FUR-BAR-10004434,"Barricks Wood Table, Rectangular",Furniture,Tables,514.5,2058.0,946.68,Profitable
FUR-BAR-10004553,"Barricks Training Table, Rectangular",Furniture,Tables,189.52200000000002,568.566,-293.81399999999996,Loss-Making
FUR-BAR-10004561,"Barricks Wood Table, Fully Assembled",Furniture,Tables,518.4,518.4,67.38,Profitable
