Row ID,Order ID,OrderDateKey,ShipDateKey,Ship Mode,Customer ID,GeographyKey,Product ID,Order Priority,Sales,Quantity,Discount,Profit,Shipping Cost,Shipping Days,Cost,Unit Price,Is Loss Making
32298,CA-2012-124891,20120731,20120731,Same Day,RH-19495,1,TEC-AC-10003033,Critical,2309.65,7,0.0,762.1845,933.57,0,1547.4655000000002,329.95,False
26341,IN-2013-77878,20130205,20130207,Second Class,JR-16210,2,FUR-CH-10003950,Critical,3709.395,9,0.1,-288.765,923.63,2,3998.16,412.155,True
25330,IN-2013-71249,20131017,20131018,First Class,CR-12730,3,TEC-PH-10004664,Medium,5175.171,9,0.1,919.971,915.49,1,4255.200000000001,575.019,False
13524,ES-2013-1579342,20130128,20130130,First Class,KM-16375,4,TEC-PH-10004583,Medium,2892.51,5,0.1,-96.54,910.16,2,2989.05,578.5020000000001,True
47221,SG-2013-4320,20131105,20131106,Same Day,RH-9495,5,TEC-SHA-10000501,Critical,2832.96,8,0.0,311.52,903.04,1,2521.44,354.12,False
22732,IN-2013-42360,20130628,20130701,Second Class,JM-15655,6,TEC-PH-10000030,Critical,2862.675,5,0.1,763.275,897.35,3,2099.4,572.5350000000001,False
30570,IN-2011-81826,20111107,20111109,First Class,TS-21340,7,FUR-CH-10004050,Critical,1822.08,4,0.0,564.84,894.77,2,1257.2399999999998,455.52,False
31192,IN-2012-86369,20120414,20120418,Standard Class,MB-18085,8,FUR-TA-10002958,High,5244.84,6,0.0,996.48,878.38,4,4248.360000000001,874.14,False
40155,CA-2014-135909,20141014,20141021,Standard Class,JW-15220,9,OFF-BI-10003527,Low,5083.96,5,0.2,1906.485,867.69,7,3177.4750000000004,1016.792,False
40936,CA-2012-116638,20120128,20120131,Second Class,JH-15985,10,FUR-TA-10000198,Critical,4297.644,13,0.4,-1862.3124,865.74,3,6159.9564,330.588,True
34577,CA-2011-102988,20110405,20110409,Second Class,GM-14695,11,OFF-SU-10002881,High,4164.05,5,0.0,83.281,846.54,4,4080.7690000000002,832.8100000000001,False
28879,ID-2012-28402,20120419,20120422,First Class,AJ-10780,12,FUR-TA-10001889,High,4626.15,5,0.0,647.55,835.57,3,3978.5999999999995,925.2299999999999,False
45794,SA-2011-1830,20111227,20111229,Second Class,MM-7260,13,TEC-CIS-10001717,Critical,2616.96,4,0.0,1151.4,832.41,2,1465.56,654.24,False
4132,MX-2012-130015,20121113,20121113,Same Day,VF-21715,14,FUR-CH-10002033,Critical,2221.8,7,0.0,622.02,810.25,0,1599.7800000000002,317.40000000000003,False
27704,IN-2013-73951,20130606,20130608,Second Class,PF-19120,15,OFF-AP-10003500,Critical,3701.52,12,0.0,1036.08,804.54,2,2665.44,308.46,False
13779,ES-2014-5099955,20140731,20140803,Second Class,BP-11185,16,OFF-AP-10000423,Critical,1869.588,4,0.1,186.948,801.66,3,1682.6399999999999,467.397,False
36178,CA-2014-143567,20141103,20141106,Second Class,TB-21175,17,TEC-AC-10004145,Critical,2249.91,9,0.0,517.4793,780.7,3,1732.4307,249.98999999999998,False
12069,ES-2014-1651774,20140908,20140914,Standard Class,PJ-18835,18,OFF-AP-10004512,Low,7958.58,14,0.0,3979.08,778.32,6,3979.5,568.47,False
22096,IN-2014-11763,20140131,20140201,First Class,JS-15685,19,TEC-CO-10000865,Critical,2565.594,9,0.1,28.404,766.93,1,2537.19,285.06600000000003,False
49463,TZ-2014-8190,20141205,20141207,Second Class,RH-9555,20,OFF-KIT-10004058,High,3409.74,6,0.0,818.28,763.38,2,2591.46,568.29,False
46630,PL-2012-7820,20120808,20120810,First Class,AB-600,21,FUR-HON-10000224,Critical,1977.72,4,0.0,276.84,759.47,2,1700.88,494.43,False
31784,CA-2011-154627,20111029,20111031,First Class,SA-20830,22,TEC-PH-10001363,High,2735.952,6,0.2,341.994,752.51,2,2393.958,455.992,False
21586,IN-2011-44803,20110502,20110503,First Class,JK-15325,23,FUR-CH-10000027,Critical,2754.0,6,0.0,358.02,752.47,1,2395.98,459.0,False
13528,ES-2013-2860574,20130227,20130301,Second Class,LB-16795,24,OFF-AP-10003590,High,5273.7,10,0.0,1898.4,730.91,2,3375.2999999999997,527.37,False
1570,US-2014-133193,20140731,20140801,First Class,NP-18325,25,TEC-PH-10004182,Critical,1713.84,4,0.0,445.52,728.968,1,1268.32,428.46,False
3484,MX-2014-165309,20140905,20140908,First Class,VD-21670,26,FUR-TA-10002827,Critical,2106.496,8,0.2,526.496,728.389,3,1580.0,263.312,False
30191,IN-2011-10286,20111217,20111220,First Class,PB-19210,27,FUR-TA-10004744,Critical,1715.16,2,0.0,720.36,725.57,3,994.8000000000001,857.58,False
11645,ES-2011-4699764,20110314,20110317,Second Class,EB-14110,28,OFF-AP-10004512,Critical,3069.738,6,0.1,1364.238,725.34,3,1705.4999999999998,511.623,False
37311,CA-2013-159016,20130311,20130312,First Class,KF-16285,29,TEC-PH-10002885,High,4158.912,8,0.2,363.9048,714.66,1,3795.0072,519.864,False
22999,IN-2012-44810,20120225,20120225,Same Day,BP-11230,30,FUR-CH-10001415,Critical,1878.72,4,0.0,582.36,704.08,0,1296.3600000000001,469.68,False
220,US-2011-128776,20111228,20111230,Second Class,RR-19525,31,TEC-PH-10002815,Critical,1696.64,5,0.2,-148.46,704.056,2,1845.1000000000001,339.32800000000003,True
10648,ES-2012-5870268,20120717,20120719,First Class,BS-11365,32,TEC-MA-10000161,Critical,2402.865,9,0.15,763.155,699.55,2,1639.7099999999998,266.98499999999996,False
32735,CA-2012-139731,20121015,20121015,Same Day,JE-15745,33,FUR-CH-10002024,High,2453.43,5,0.3,-350.49,690.42,0,2803.92,490.686,True
21286,IN-2011-28087,20111103,20111105,Second Class,DP-13105,34,OFF-AP-10004246,Critical,2526.93,5,0.1,561.48,689.8,2,1965.4499999999998,505.38599999999997,False
32543,CA-2011-168494,20111212,20111214,Second Class,NP-18700,35,FUR-TA-10003473,High,3610.848,12,0.2,135.4068,683.12,2,3475.4411999999998,300.904,False
47905,CG-2011-8610,20110914,20110915,First Class,AH-30,36,TEC-APP-10000308,High,3817.26,6,0.0,1068.66,678.15,1,2748.6000000000004,636.21,False
36423,CA-2011-160766,20110914,20110914,Same Day,DM-13015,1,TEC-MA-10003979,High,2799.96,4,0.0,1371.9804,675.15,0,1427.9796000000001,699.99,False
31980,US-2014-168116,20141105,20141105,Same Day,GT-14635,37,TEC-MA-10004125,High,7999.98,4,0.5,-3839.9904,674.82,0,11839.9704,1999.995,True
15380,ES-2014-2637201,20140114,20140118,Standard Class,PO-18865,38,TEC-CO-10000013,High,4141.02,13,0.0,1697.67,668.96,4,2443.3500000000004,318.54,False
28046,IN-2011-61302,20110110,20110111,First Class,DL-12865,3,TEC-PH-10004664,Medium,2875.095,5,0.1,511.095,665.27,1,2364.0,575.019,False
21316,ID-2013-63976,20130822,20130826,Standard Class,JB-16000,39,TEC-PH-10000499,High,3200.5962,6,0.17,-77.2038,660.87,4,3277.8,533.4327,True
29272,IN-2014-37320,20141111,20141115,Standard Class,BF-11005,40,TEC-PH-10003856,High,4518.78,7,0.0,632.52,658.69,4,3886.2599999999998,645.54,False
25795,IN-2014-76016,20140926,20140928,Second Class,VG-21805,41,FUR-BO-10004852,Medium,5667.87,13,0.0,2097.03,658.35,2,3570.8399999999997,435.99,False
16681,ES-2012-5877219,20121213,20121217,Standard Class,GT-14710,42,TEC-PH-10004583,High,5785.02,9,0.0,404.73,656.73,4,5380.290000000001,642.7800000000001,False
15953,IT-2011-3183678,20110923,20110925,First Class,ZC-21910,4,OFF-AP-10000486,Critical,3018.624,7,0.2,377.244,655.91,2,2641.3799999999997,431.23199999999997,False
